Festival;year;Notes;Stage name;Main genre;genres on Spotify
cornbury festival;2014;;Gipsy Kings;world;flamenco,rumba,world,world christmas
end of the road festival;2013;david byrne & St. Vincent - each treated separately for genre purposes;david byrne;rock;art rock,dance rock,fourth world,permanent wave,singer-songwriter
end of the road festival;2013;david byrne & St. Vincent - each treated separately for genre purposes;St. Vincent;rock;alternative dance,alternative rock,anti-folk,chamber pop,chillwave,dream pop,escape room,etherpop,folk-pop,freak folk,indie folk,indie pop,indie r&b,indie rock,indietronica,lo-fi,metropopolis,neo-psychedelic,new rave,noise pop,pop,pop rock,shimmer pop,singer-songwriter,synthpop
Glastonbury;1994;;levellers;rock;britpop,celtic rock,madchester
Reading;1998;Jimmy Page and Robert Plant - each treated separately for genre purposes;Jimmy Page;rock;album rock,blues-rock,british blues,classic rock,electric blues,hard rock,rock
Reading;1998;Jimmy Page and Robert Plant - each treated separately for genre purposes;Robert Plant;rock;album rock,art rock,blues-rock,british blues,classic rock,electric blues,folk rock,hard rock,mellow gold,progressive rock,rock,roots rock,singer-songwriter,soft rock,symphonic rock
rewind;2014;;Daryl Hall & John Oates;rock;adult standards,album rock,classic funk rock,classic rock,dance rock,disco,folk rock,hard rock,mellow gold,motown,new wave pop,rock,singer-songwriter,soft rock
cornbury festival;2016;;seal;rock;soft rock
Glastonbury;1983;;ub40;reggae;reggae fusion
rewind;2013;;ub40;reggae;reggae fusion
rewind;2013;;ub40;reggae;reggae fusion
Glastonbury;2015;;Kanye West;hip hop;pop,pop christmas,pop rap,rap
Wireless;2009;;Kanye West;hip hop;pop,pop christmas,pop rap,rap
Wireless;2014;;Kanye West;hip hop;pop,pop christmas,pop rap,rap
Glastonbury;1999;;Skunk Anansie;rock;pop rock
Wireless;2017;;chance the rapper;hip hop;pop rap,rap
boardmasters;2012;;ed sheeran;pop;pop
Glastonbury;2002;;Coldplay;pop;permanent wave,pop,pop christmas
Glastonbury;2005;;Coldplay;pop;permanent wave,pop,pop christmas
Glastonbury;2011;;Coldplay;pop;permanent wave,pop,pop christmas
Glastonbury;2016;;Coldplay;pop;permanent wave,pop,pop christmas
Isle of Wight;2006;;Coldplay;pop;permanent wave,pop,pop christmas
t in the park;2003;;Coldplay;pop;permanent wave,pop,pop christmas
t in the park;2011;;Coldplay;pop;permanent wave,pop,pop christmas
v festival;2003;;Coldplay;pop;permanent wave,pop,pop christmas
Latitude;2017;;The 1975;pop;nu gaze,pop,shiver pop
cornbury festival;2012;;katzenjammer;folk;norwegian pop,norwegian rock
boardmasters;2016;;james bay;pop;neo mellow,pop,pop rock,singer-songwriter,viral pop
cornbury festival;2011;;james blunt;pop;neo mellow,pop,pop rock
Wireless;2006;;james blunt;pop;neo mellow,pop,pop rock
cornbury festival;2013;;keane;pop;neo mellow,piano rock,pop,pop rock,rock
Wireless;2005;;keane;pop;neo mellow,piano rock,pop,pop rock,rock
Wireless;2016;;kygo;electronic;minimal dub,pop,tropical house
boardmasters;2014;;bastille;indie;metropopolis,pop,tropical house
boardmasters;2015;;bastille;indie;metropopolis,pop,tropical house
Glastonbury;1992;;youssou n'dour;world;mande pop,mbalax,world
lovebox;2008;;manu chao;world;latin alternative,rock en espanol,world
Glastonbury;2011;;U2;rock;irish rock,permanent wave,rock
end of the road festival;2017;;mac Demarco;indie;indie rock,indietronica
boardmasters;2017;;alt-J;indie;indie pop,indie rock
Latitude;2015;;alt-J;indie;indie pop,indie rock
Isle of Wight;2007;;Snow Patrol;indie;indie christmas,irish rock,neo mellow,permanent wave,pop,pop christmas,pop rock,rock
Latitude;2006;;Snow Patrol;indie;indie christmas,irish rock,neo mellow,permanent wave,pop,pop christmas,pop rock,rock
t in the park;2007;;Snow Patrol;indie;indie christmas,irish rock,neo mellow,permanent wave,pop,pop christmas,pop rock,rock
t in the park;2012;;Snow Patrol;indie;indie christmas,irish rock,neo mellow,permanent wave,pop,pop christmas,pop rock,rock
boardmasters;2010;;newton faulkner;indie;indie anthem-folk,neo mellow,pop rock
Reading;2010;;blink-182;punk;heavy christmas,pop punk,punk,punk christmas
Reading;2014;;blink-182;punk;heavy christmas,pop punk,punk,punk christmas
Wireless;2017;;skepta;hip hop;grime,hip hop,house,pop rap,rap
download;2017;;Biffy Clyro;rock;garage rock,indie rock,rock,scottish rock
Reading;2013;;Biffy Clyro;rock;garage rock,indie rock,rock,scottish rock
Reading;2016;;Biffy Clyro;rock;garage rock,indie rock,rock,scottish rock
t in the park;2014;;Biffy Clyro;rock;garage rock,indie rock,rock,scottish rock
Glastonbury;2007;;Arctic Monkeys;rock;garage rock,indie rock,permanent wave,sheffield indie
Glastonbury;2013;;Arctic Monkeys;rock;garage rock,indie rock,permanent wave,sheffield indie
Reading;2009;;Arctic Monkeys;rock;garage rock,indie rock,permanent wave,sheffield indie
Reading;2014;;Arctic Monkeys;rock;garage rock,indie rock,permanent wave,sheffield indie
t in the park;2007;;Arctic Monkeys;rock;garage rock,indie rock,permanent wave,sheffield indie
t in the park;2011;;Arctic Monkeys;rock;garage rock,indie rock,permanent wave,sheffield indie
t in the park;2014;;Arctic Monkeys;rock;garage rock,indie rock,permanent wave,sheffield indie
v festival;2011;;Arctic Monkeys;rock;garage rock,indie rock,permanent wave,sheffield indie
boardmasters;2008;;the zutons;rock;garage rock,indie rock,madchester
boardmasters;2009;;cypress hill;hip hop;gangster rap,hardcore hip hop,hip hop,pop rap,rap,rap rock,west coast rap
bestival;2013;;snoop dogg;hip hop;g funk,gangster rap,hip hop,pop christmas,pop rap,rap,southern hip hop,west coast rap
boardmasters;2014;;snoop dogg;hip hop;g funk,gangster rap,hip hop,pop christmas,pop rap,rap,southern hip hop,west coast rap
lovebox;2011;;snoop dogg;hip hop;g funk,gangster rap,hip hop,pop christmas,pop rap,rap,southern hip hop,west coast rap
lovebox;2015;;snoop dogg;hip hop;g funk,gangster rap,hip hop,pop christmas,pop rap,rap,southern hip hop,west coast rap
Glastonbury;1990;;sinead o'connor;folk;folk,folk-pop,lilith,new wave pop,pop christmas,pop rock,singer-songwriter
bestival;2012;;Florence + The Machine;indie;folk-pop,indie pop,pop
Glastonbury;2015;;Florence + the Machine;indie;folk-pop,indie pop,pop
