No.;Album;Artist;Genre;Record label[nb 1];Released[nb 1];Chartpeak[nb 1]
1;Bridge over Troubled Water;Simon and Garfunkel;folk;CBS;1970;1
2;Greatest Hits;ABBA;pop;Epic;1976;1
3;Tubular Bells;Mike Oldfield;rock;Virgin;1973;1
4;Simon and Garfunkel's Greatest Hits;Simon and Garfunkel;folk;CBS;1972;2
5;Saturday Night Fever;Original Soundtrack;disco;RSO;1977;1
6;The Singles: 1969-1973;The Carpenters;pop;A&M;1974;1
7;Arrival;ABBA;pop;Epic;1976;1
8;The Dark Side of the Moon;Pink Floyd;rock;Harvest;1973;2
9;Grease;Original Soundtrack;musical;RSO;1978;1
10;40 Greatest Hits;Elvis Presley;rock and roll;Arcade;1974;1
11;20 Golden Greats;The Beach Boys;rock;Capitol;1976;1
12;Band on the Run;Paul McCartney and Wings;rock;Apple;1973;1
13;Rumours;Fleetwood Mac;rock;Warner Bros.;1977;1
14;The Best of The Stylistics;The Stylistics;soul;Avco;1975;1
15;Parallel Lines;Blondie;pop;Chrysalis;1978;1
16;Atlantic Crossing;Rod Stewart;rock;Riva;1975;1
17;20 Golden Greats;The Shadows;rock;EMI;1977;1
18;20 Golden Greats;Diana Ross & The Supremes;soul;Motown;1977;1
19;Greatest Hits;Elton John;rock;DJM;1974;1
20;ABBA: The Album;ABBA;pop;Epic;1978;1
21;A Night at the Opera;Queen;rock;EMI;1975;1
22;The Sound of Bread;Bread;rock;Elektra;1977;1
23;Their Greatest Hits (1971-1975);The Eagles;rock;Asylum;1976;2
24;Out of the Blue;Electric Light Orchestra;rock;Jet;1977;4
25;Nightflight to Venus;Boney M.;disco;Atlantic;1978;1
26;20 Dynamic Hits;Various Artists;rock;K-tel;1972;1
27;1967-1970;The Beatles;rock;Apple;1973;2
28;Hotel California;The Eagles;rock;Asylum;1976;2
29;40 Greatest Hits;Perry Como;pop;K-tel;1975;1
30;Goodbye Yellow Brick Road;Elton John;rock;DJM;1973;1
31;A Star Is Born;Barbra Streisand/Kris Kristofferson;pop;CBS;1976;1
32;1962-1966;The Beatles;rock;Apple;1973;3
33;Forever and Ever;Demis Roussos;pop;Philips;1973;2
34;Wish You Were Here;Pink Floyd;rock;Harvest;1975;1
35;And I Love You So;Perry Como;pop;RCA Victor;1973;1
36;Songs in the Key of Life;Stevie Wonder;soul;Motown;1976;2
37;Once Upon a Star;The Bay City Rollers;pop;Bell;1975;1
38;Disco Fever;Various Artists;disco;K-tel;1977;1
39;A New World Record;Electric Light Orchestra;rock;Jet;1976;6
40;20 All Time Greats of the 50's;Various Artists;pop;K-tel;1972;1
41;Jeff Wayne's Musical Version of The War of the Worlds;Jeff Wayne;rock;CBS;1978;5
42;The Rise and Fall of Ziggy Stardust and the Spiders from Mars;David Bowie;rock;RCA;1972;5
43;Never Mind the Bollocks, Here's the Sex Pistols;Sex Pistols;punk;Virgin;1977;1
44;Rollin';The Bay City Rollers;pop;Bell;1974;1
45;Glen Campbell's Twenty Golden Greats;Glen Campbell;country;EMI;1976;1
46;Discovery;Electric Light Orchestra;rock;Jet;1979;1
47;Imagine;John Lennon;rock;Apple;1971;1
48;The Very Best of Leo Sayer;Leo Sayer;disco;Chrysalis;1979;1
49;40 Golden Greats;Jim Reeves;country;Arcade;1975;1
50;Endless Flight;Leo Sayer;disco;Chrysalis;1976;4
