No.;Album;Artist;Genre;Record label[a];Year[a];Chartpeak[a]
1;(What's the Story) Morning Glory?;Oasis;rock;Creation;1995;1
2;Stars;Simply Red;soul;East West;1991;1
3;Spice;Spice Girls;pop;Virgin;1996;1
4;Talk on Corners;The Corrs;folk;Atlantic;1997;1
5;Jagged Little Pill;Alanis Morissette;rock;Maverick;1996;1
6;Robson & Jerome;Robson & Jerome;pop;RCA;1995;1
7;The Immaculate Collection;Madonna;pop;Sire;1990;1
8;Urban Hymns;The Verve;rock;Hut;1997;1
9;Gold: Greatest Hits;ABBA;pop;Polydor;1992;1
10;Falling into You;Celine Dion;pop;Epic;1996;1
11;Greatest Hits II;Queen;rock;Parlophone;1991;1
12;The Very Best of Elton John;Elton John;rock;Rocket;1990;1
13;The Bodyguard (original soundtrack);Various Artists;pop;Arista;1992;1[b]
14;Simply the Best;Tina Turner;pop;Capitol;1991;2
15;Ladies & Gentlemen: The Best of George Michael;George Michael;pop;Epic;1998;1
16;Automatic for the People;R.E.M.;rock;Warner Bros.;1992;1
17;Dangerous;Michael Jackson;pop;Epic;1991;1
18;I've Been Expecting You;Robbie Williams;pop;Chrysalis;1998;1
19;The Colour of My Love;Celine Dion;pop;Epic;1994;1
20;Carry On up the Charts: The Best of the Beautiful South;The Beautiful South;rock;Go! Discs;1994;1
