No.;Title;Artist;Genre;Peakposition;Year ofrelease;Sales
1;Back to Bedlam;James Blunt;rock;1;2004;3,191,393[10]
2;No Angel;Dido;folk;1;2000;3,052,901[10]
3;Back to Black;Amy Winehouse;soul;1;2006;
4;Spirit;Leona Lewis;pop;1;2007;
5;White Ladder;David Gray;folk;1;1998;
6;1;The Beatles;rock;1;2000;2,867,152[10]
7;Life for Rent;Dido;folk;1;2003;
8;A Rush of Blood to the Head;Coldplay;pop;1;2002;
9;Hopes and Fears;Keane;rock;1;2004;
10;Scissor Sisters;Scissor Sisters;rock;1;2004;2,707,567[10]
11;Beautiful World;Take That;pop;1;2006;
12;X&Y;Coldplay;pop;1;2005;
13;Parachutes;Coldplay;pop;1;2000;
14;Come Away with Me;Norah Jones;pop;1;2002;
15;Eyes Open;Snow Patrol;rock;1;2006;
16;The Marshall Mathers LP;Eminem;hip hop;1;2000;
17;Swing When You're Winning;Robbie Williams;pop;1;2001;
18;Only by the Night;Kings of Leon;rock;1;2008;2,260,195[11]
19;Greatest Hits;Robbie Williams;pop;1;2004;
20;Sing When You're Winning;Robbie Williams;pop;1;2000;
21;Rockferry;Duffy;soul;1;2008;
22;Escapology;Robbie Williams;pop;1;2002;
23;Employment;Kaiser Chiefs;rock;2;2005;
24;The Circus;Take That;rock;1;2008;
25;Gold: Greatest Hits;ABBA;pop;1;1992;1,995,170[10]
26;Hot Fuss;The Killers;rock;1;2004;
27;American Idiot;Green Day;punk;1;2004;
28;By the Way;Red Hot Chili Peppers;rock;1;2002;
29;Stripped;Christina Aguilera;pop;2;2002;
30;Songs About Jane;Maroon 5;pop;1;2002;
31;Justified;Justin Timberlake;pop;1;2002;
32;Never Forget - The Ultimate Collection;Take That;rock;2;2005;
33;The Greatest Hits;Texas;rock;1;2000;
34;Call Off the Search;Katie Melua;jazz;1;2003;
35;Born to Do It;Craig David;electronic;1;2000;
36;Play;Moby;electronic;1;1999;
37;Number Ones;Michael Jackson;pop;1;2003;
38;Missundaztood;Pink;pop;3;2002;
39;Just Enough Education to Perform;Stereophonics;rock;1;2001;
40;Let Go;Avril Lavigne;rock;1;2002;
41;Final Straw;Snow Patrol;rock;3;2003;
42;Unbreakable - The Greatest Hits Vol. 1;Westlife;pop;1;2002;1,730,028[10]
43;Friday's Child;Will Young;pop;1;2003;
44;Songbird;Eva Cassidy;jazz;1;1998;
45;Demon Days;Gorillaz;hip hop;1;2005;
46;Fever;Kylie Minogue;pop;1;2001;
47;Coast to Coast;Westlife;pop;1;2000;
48;The Platinum Collection (Greatest Hits I, II, III);Queen;rock;2;2000;
49;Whitney: The Greatest Hits;Whitney Houston;pop;1;2000;
50;In Time: The Best of R.E.M. 1988-2003;R.E.M.;rock;1;2003;
51;Eye to the Telescope;KT Tunstall;folk;3;2004;
52;I Dreamed a Dream;Susan Boyle;pop;1;2009;1,632,732[11]
53;Gotta Get Thru This;Daniel Bedingfield;pop;2;2002;
54;Music;Madonna;pop;1;2000;
55;Intensive Care;Robbie Williams;pop;1;2005;
56;Elephunk;The Black Eyed Peas;pop;3;2003;
57;Good Girl Gone Bad;Rihanna;pop;1;2007;
58;Life in Cartoon Motion;Mika;pop;1;2007;
59;ELV1S;Elvis Presley;rock and roll;1;2002;
60;Breakaway;Kelly Clarkson;pop;3;2005;
61;The Eminem Show;Eminem;hip hop;1;2002;
62;Il Divo;Il Divo;classical;1;2004;
63;Escape;Enrique Iglesias;pop;1;2001;
64;Undiscovered;James Morrison;pop;1;2006;
65;Razorlight;Razorlight;indie;1;2006;
66;In Between Dreams;Jack Johnson;folk;1;2005;
67;Greatest Hits;Guns N' Roses;rock;1;2004;
68;Greatest Hits 1970-2002;Elton John;rock;3;2002;
69;Ta-Dah;Scissor Sisters;rock;1;2006;
70;Sam's Town;The Killers;rock;1;2006;
71;Confessions;Usher;hip hop;1;2004;
72;The Story So Far: The Very Best of Rod Stewart;Rod Stewart;rock;7;2001;
73;The Fame;Lady Gaga;pop;1;2009;1,388,847[11]
74;Inside In/Inside Out;The Kooks;rock;2;2006;
75;Permission to Land;The Darkness;rock;1;2003;
76;One Love;Blue;pop;1;2002;
77;Dreams Can Come True, Greatest Hits Vol. 1;Gabrielle;pop;2;2001;
78;Hybrid Theory;Linkin Park;metal;4;2000;
79;Stop the Clocks;Oasis;rock;2;2006;
80;My Way: The Best of Frank Sinatra;Frank Sinatra;jazz;7;1997;
81;Ronan;Ronan Keating;pop;1;2000;
82;Confessions on a Dance Floor;Madonna;pop;1;2005;
83;Face to Face;Westlife;pop;1;2005;
84;Whatever People Say I Am, That's What I'm Not;Arctic Monkeys;rock;1;2006;
85;Forever Faithless - The Greatest Hits;Faithless;electronic;1;2005;
86;Piece by Piece;Katie Melua;jazz;1;2005;
87;Fallen;Evanescence;metal;1;2003;
88;I'm Not Dead;Pink;pop;3;2006;
89;Curtain Call: The Hits;Eminem;hip hop;1;2005;
90;Viva la Vida or Death and All His Friends;Coldplay;pop;1;2008;
91;All Rise;Blue;pop;1;2001;
92;The Man Who;Travis;rock;1;1999;
93;10 Years of Hits;Ronan Keating;pop;1;2004;
94;Franz Ferdinand;Franz Ferdinand;punk;3;2004;
95;PCD;The Pussycat Dolls;pop;7;2005;
96;Rise;Gabrielle;soul;1;1999;
97;How to Dismantle an Atomic Bomb;U2;rock;1;2004;
98;The Invisible Band;Travis;rock;1;2001;
99;Anastacia;Anastacia;pop;1;2004;
100;A New Day at Midnight;David Gray;folk;1;2002;
