No.[4];Title;Artist;Genre;Peakposition;Year ofrelease;Sales(where available)[a];No. of timesPlatinum[b]
1;21;Adele;pop;1;2011;5,170,000;17×
2;25;Adele;pop;1;2015;3,600,000;12×
3;x;Ed Sheeran;pop;1;2014;3,600,000[6];12×
4;Divide;Ed Sheeran;pop;1;2017;3,400,000[6];11×
5;Christmas;Michael Buble;pop;1;2011;2,950,000;9×
6;In the Lonely Hour;Sam Smith;pop;1;2014;2,590,000;8×
7;19;Adele;pop;1;2008;2,450,000;8×
8;+;Ed Sheeran;pop;1;2011;2,443,000;8×
9;Our Version of Events;Emeli Sande;soul;1;2012;2,430,000;8×
10;Progress;Take That;pop;1;2010;2,390,000;8×
11;The Greatest Showman;Various Artists;pop;1;2017;2,130,000;7×
12;Loud;Rihanna;pop;1;2010;1,997,500;6×
13;Crazy Love;Michael Buble;pop;1;2009;1,890,300;6×
14;Doo-Wops & Hooligans;Bruno Mars;pop;1;2010;1,713,000[7];5×
15;The Fame / The Fame Monster;Lady Gaga;pop;1;2009;1,578,000;5×
16;Sigh No More;Mumford & Sons;folk;2;2009;1,561,800;5×
17;Mylo Xyloto;Coldplay;pop;1;2011;1,536,700;5×
18;Wanted on Voyage;George Ezra;rock;1;2014;1,420,200[8];4×
19;Teenage Dream / Teenage Dream: The Complete Confection;Katy Perry;pop;1;2010;;4×
20;The Defamation of Strickland Banks;Plan B;hip hop;1;2010;1,399,400[9];4×
21;Right Place Right Time;Olly Murs;pop;1;2012;1,380,000[10];4×
22;Who You Are;Jessie J;pop;2;2011;1,270,000[11];4×
23;Purpose;Justin Bieber;pop;2;2015;;4×
24;Lungs;Florence and the Machine;indie;1;2009;;6×
25;1989;Taylor Swift;pop;1;2014;1,259,100[12];4×
26;Halcyon / Halcyon Days;Ellie Goulding;pop;1;2012;1,200,000;4×
27;AM;Arctic Monkeys;rock;1;2013;;4×
28;A Head Full of Dreams;Coldplay;pop;1;2015;;4×
29;I Cry When I Laugh;Jess Glynne;pop;1;2015;;4×
30;Human;Rag'n'Bone Man;blues;1;2017;;4×
31;If I Can Dream;Elvis Presley;rock and roll;1;2015;;4×
32;Babel;Mumford & Sons;folk;1;2012;;4×
33;Greatest Hits;Bon Jovi;rock;2;2010;;3×
34;Born to Die;Lana Del Rey;pop;1;2012;1,174,000[13];3×
35;Up All Night;One Direction;pop;1;2011;;3×
36;In Case You Didn't Know;Olly Murs;pop;1;2011;1,105,000[10];3×
37;Time Flies... 1994-2009;Oasis;rock;1;2010;;3×
38;Greatest Hits... So Far!!!;Pink;pop;5;2010;1,050,000[14];3×
39;Glory Days;Little Mix;pop;1;2016;1,014,800[15];3×
40;Sunny Side Up;Paolo Nutini;folk;1;2009;1,033,000;3×
41;Take Me Home;One Direction;pop;1;2012;;3×
42;Talk That Talk;Rihanna;pop;1;2011;;3×
43;Recovery;Eminem;hip hop;1;2010;1,030,000[16];3×
44;Unorthodox Jukebox;Bruno Mars;pop;1;2012;;3×
45;Born This Way;Lady Gaga;pop;1;2011;1,020,800;3×
46;Gold: Greatest Hits;ABBA;pop;1;1992;;18×
47;Legend;Bob Marley and the Wailers;reggae;1;1984;;12×
48;18 Months;Calvin Harris;electronic;1;2012;;3×
49;Staying at Tamara's;George Ezra;folk;1;2018;1,000,300[17];3×
50;Rumours;Fleetwood Mac;rock;1;1977;;13×
51;Curtain Call: The Hits;Eminem;hip hop;1;2005;;7×
52;The Ultimate Collection;Whitney Houston;pop;3;2007;;5×
53;Greatest Hits;Foo Fighters;rock;4;2009;;4×
54;Back to Black;Amy Winehouse;soul;1;2006;;13×
55;Bad Blood;Bastille;indie;1;2013;;3×
56;Midnight Memories;One Direction;pop;1;2013;;3×
57;Come Around Sundown;Kings of Leon;rock;1;2010;915,300[18];3×
58;Number Ones;Michael Jackson;pop;1;2003;;9×
59;The Truth About Love;Pink;pop;1;2012;907,000[14];3×
60;Nothing but the Beat;David Guetta;electronic;1;2011;;3×
61;The Very Best of Fleetwood Mac;Fleetwood Mac;rock;6;2002;;6×
62;Disc-Overy;Tinie Tempah;hip hop;1;2010;;3×
63;The Element of Freedom;Alicia Keys;soul;1;2009;;3×
64;Lioness: Hidden Treasures;Amy Winehouse;soul;1;2011;;2×
65;Never Been Better;Olly Murs;pop;1;2014;863,000[10];2×
66;All Over the World: The Very Best of Electric Light Orchestra;Electric Light Orchestra;rock;1;2005;;3×
67;Ceremonials;Florence and the Machine;indie;1;2011;;2×
68;Chaos and the Calm;James Bay;indie;1;2015;824,540[19];2×
69;Noel Gallagher's High Flying Birds;Noel Gallagher's High Flying Birds;rock;1;2011;864,600[20];2×
70;Get Weird;Little Mix;pop;2;2015;883,000[21];3×
71;Lights;Ellie Goulding;pop;1;2010;;
72;Olly Murs;Olly Murs;pop;2;2010;;
73;My World / My World 2.0;Justin Bieber;pop;3;2010;;
74;To Be Loved;Michael Buble;pop;1;2013;;
75;Science & Faith;The Script;rock;1;2010;;
76;Every Kingdom;Ben Howard;folk;4;2011;;
77;Jake Bugg;Jake Bugg;indie;1;2012;;
78;A Perfect Contradiction;Paloma Faith;pop;2;2014;;
79;4;Beyonce;pop;1;2011;;
80;Unapologetic;Rihanna;pop;1;2012;;
